cohort_month,0,1,2,3,4,5,6,7,8,9,10,11,12
2024-01-01,100.0,44.666666666666664,36.44444444444444,30.88888888888889,23.77777777777778,18.88888888888889,16.666666666666664,15.333333333333332,10.222222222222223,8.666666666666668,7.111111111111111,4.444444444444445,
2024-02-01,100.0,45.64860426929393,38.42364532019704,32.01970443349754,24.794745484400657,21.510673234811165,16.748768472906402,13.464696223316913,11.330049261083744,7.55336617405583,8.538587848932677,2.955665024630542,
2024-03-01,100.0,45.65826330532213,38.93557422969188,29.13165266106443,24.789915966386555,22.689075630252102,15.266106442577032,12.184873949579831,9.523809523809524,7.142857142857142,6.302521008403361,3.361344537815126,
2024-04-01,100.0,45.387994143484626,39.97071742313324,32.503660322108345,27.81844802342606,21.96193265007321,18.594436310395317,15.080527086383603,11.71303074670571,8.49194729136164,5.710102489019034,3.953147877013177,
2024-05-01,100.0,46.394557823129254,39.86394557823129,31.97278911564626,24.081632653061224,21.08843537414966,14.69387755102041,14.013605442176871,10.340136054421768,8.16326530612245,6.122448979591836,3.6734693877551026,
2024-06-01,100.0,49.930651872399444,40.49930651872399,33.56449375866852,27.323162274618586,22.46879334257975,16.36615811373093,14.840499306518723,11.373092926490985,10.263522884882107,7.350901525658807,4.715672676837725,
2024-07-01,100.0,47.690217391304344,38.315217391304344,31.929347826086957,24.320652173913043,20.380434782608695,19.021739130434785,14.538043478260871,12.228260869565217,8.967391304347826,6.521739130434782,3.260869565217391,0.1358695652173913
2024-08-01,100.0,43.06748466257669,38.65030674846626,31.28834355828221,26.625766871165645,22.57668711656442,16.07361963190184,15.214723926380369,11.16564417177914,10.061349693251534,7.484662576687116,3.4355828220858897,
2024-09-01,100.0,42.6605504587156,40.51987767584097,32.415902140672785,25.229357798165136,19.113149847094803,17.889908256880734,16.055045871559635,13.608562691131498,8.868501529051988,5.963302752293578,2.4464831804281344,
2024-10-01,100.0,47.14285714285714,42.33766233766234,31.558441558441558,25.324675324675322,23.116883116883116,17.01298701298701,14.935064935064934,11.03896103896104,8.831168831168831,7.922077922077922,3.6363636363636362,
2024-11-01,100.0,45.49071618037136,38.59416445623342,28.249336870026525,26.525198938992045,19.363395225464192,16.445623342175068,14.323607427055704,9.814323607427056,8.620689655172415,4.774535809018567,3.050397877984085,
2024-12-01,100.0,45.754119138149555,35.61470215462611,34.47401774397972,27.122940430925226,20.659062103929024,15.842839036755388,12.801013941698352,11.533586818757922,7.731305449936629,7.224334600760455,5.4499366286438535,0.12674271229404308
2025-01-01,100.0,44.5945945945946,37.83783783783784,33.108108108108105,28.716216216216218,19.594594594594593,15.202702702702704,13.175675675675674,10.81081081081081,9.45945945945946,4.72972972972973,,
2025-02-01,100.0,41.77215189873418,31.645569620253166,35.44303797468354,25.31645569620253,22.78481012658228,17.72151898734177,8.860759493670885,7.59493670886076,1.2658227848101267,,,
2025-03-01,100.0,41.17647058823529,38.23529411764706,23.52941176470588,26.47058823529412,14.705882352941178,11.76470588235294,8.823529411764707,8.823529411764707,,,,
2025-04-01,100.0,27.27272727272727,36.36363636363637,45.45454545454545,36.36363636363637,27.27272727272727,36.36363636363637,9.090909090909092,,,,,
2025-05-01,100.0,100.0,50.0,25.0,,25.0,25.0,,,,,,
2025-07-01,100.0,100.0,,,,,,,,,,,
